product,price,department,productMaterial,productAdjective,productDescription,fullName,gender,exampleEmail,secondaryAddress,number,birthdate,anytime,state,numeric,octal,octal.2
Pants,797.00,Automotive,Wooden,Handmade,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Freddie Kilback,Cis woman,Anderson.Streich@example.com,Suite 600,789.301.9163 x65040,"""1963-05-08T07:24:42.418Z""","""2025-07-22T07:42:38.156Z""",New Mexico,3,1,0
Gloves,974.00,Tools,Wooden,Modern,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Wendell Homenick,Woman,Larry_Bayer@example.net,Apt. 500,995.833.0026 x24616,"""1976-03-12T12:50:39.387Z""","""2026-03-04T11:14:00.250Z""",Alaska,1,7,3
Ball,183.00,Baby,Soft,Elegant,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Luis Mante,Androgynous,Wade.Ryan89@example.com,Suite 679,(251) 609-3837 x258,"""1981-12-18T09:13:08.874Z""","""2025-03-21T15:58:36.425Z""",Wisconsin,2,4,4
Ball,141.00,Home,Soft,Rustic,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ora Rutherford,Demi-girl,Eldon70@example.net,Suite 777,(293) 719-8864 x3003,"""1964-08-04T18:29:12.098Z""","""2025-11-04T11:45:26.451Z""",Kentucky,6,5,4
Tuna,275.00,Outdoors,Granite,Recycled,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Johanna Stanton,T* woman,Kelli.Russel@example.org,Suite 741,512-286-4355,"""1988-10-24T17:43:23.022Z""","""2026-04-27T18:13:23.694Z""",Connecticut,2,4,3
Hat,756.00,Electronics,Wooden,Unbranded,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Francisco Crooks DVM,Neutrois,Raheem.Nader80@example.org,Apt. 248,1-638-283-3912 x26408,"""1967-03-19T13:14:17.758Z""","""2026-03-24T13:39:30.012Z""",Kansas,0,1,4
Hat,418.00,Health,Wooden,Handcrafted,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Erica Weissnat,Female to male transsexual man,Dagmar.Lynch@example.net,Apt. 929,464.731.2902,"""1983-05-27T05:55:01.935Z""","""2026-06-17T03:57:08.963Z""",Montana,4,0,0
Ball,346.00,Outdoors,Rubber,Gorgeous,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Miss Nora King I,Multigender,Margarett24@example.com,Suite 834,1-963-680-7813 x5160,"""1999-01-27T06:15:44.506Z""","""2025-09-08T14:06:10.529Z""",Kentucky,6,1,0
Fish,513.00,Jewelery,Wooden,Fantastic,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Bonnie Pollich,Gender questioning,Josephine.Smitham73@example.org,Apt. 295,1-722-718-9555 x22909,"""2001-07-09T05:49:47.118Z""","""2025-08-15T18:57:35.033Z""",Virginia,8,5,1
Pants,279.00,Garden,Metal,Handmade,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Dr. Ismael Jakubowski,Non-binary,Rowland_Weber66@example.org,Suite 603,(969) 221-3546,"""1973-04-01T21:27:35.134Z""","""2025-10-23T04:01:11.003Z""",Wyoming,2,1,5
